"LGA","Crude_rate","IRSD","IRSAD","IER","IEO","log_IRSD","log_IER","log_IEO","log_Crude_rate","status"
"Fraser Coast",35.626209,915,890,954,886,5.35658627467201,5.23644196282995,6.78671695060508,3.57308157485508,"Actual"
"Gladstone",20.446681,954,926,975,898,5.15329159449778,5.11799381241676,6.8001700683022,3.01782057102851,"Actual"
"Gold Coast",14.37174,1019,1009,1015,1001,4.68213122712422,4.84418708645859,6.90875477931522,2.66526377835565,"Actual"
"Goondiwindi",41.630449,965,938,976,921,5.08759633523238,5.11198778835654,6.82546003625531,3.72883184663995,"Actual"
"Gympie",25.216009,930,896,972,889,5.28320372873799,5.13579843705026,6.7900972355139,3.22747907059165,"Actual"
"Hinchinbrook",21.926218,954,911,953,884,5.15329159449778,5.24174701505964,6.78445706263764,3.0876830897369,"Actual"
"Ipswich",18.208864,958,940,980,934,5.12989871492307,5.08759633523238,6.83947643822884,2.90190850848772,"Actual"
"Isaac",6.3966664,1012,971,993,905,4.74493212836325,5.00394630594546,6.80793494369993,1.85577697966312,"Actual"
"Kowanyama",34.203626,528,686,509,765,6.39526159811545,6.45047042214418,6.63987583382654,3.53233166184029,"Actual"
"Livingstone",21.741831,1005,970,1030,935,4.80402104473326,4.71849887129509,6.84054652928869,3.07923810077763,"Actual"
"Lockyer Valley",22.938049,948,921,997,902,5.18738580584075,4.97673374242057,6.80461452006262,3.13279706013327,"Actual"
"Logan",18.385525,944,930,985,916,5.20948615284142,5.05624580534831,6.82001636467413,2.91156367023348,"Actual"
"Mackay",17.98642,999,961,1007,917,4.85203026391962,4.90527477843843,6.82110747225646,2.88961702871529,"Actual"
"McKinlay",19.265348,1014,977,1017,937,4.72738781871234,4.8283137373023,6.84268328223842,2.95830804176133,"Actual"
"Maranoa",27.87371,995,966,988,944,4.88280192258637,5.03695260241363,6.8501261661455,3.32768395068252,"Actual"
"Mareeba",21.992135,937,921,952,922,5.24702407216049,5.24702407216049,6.82654522355659,3.09068488943996,"Actual"
"Moreton Bay",18.38876,992,970,1012,955,4.90527477843843,4.86753445045558,6.86171134048073,2.91173960839289,"Actual"
"Mornington",78.61327,609,747,588,899,6.24997524225948,6.31716468674728,6.80128303447162,4.3645405147016,"Actual"
"Mount Isa",31.070373,972,954,938,927,5.04342511691925,5.31811999384422,6.83195356556585,3.43625472848256,"Actual"
"Murweh",28.728753,948,930,943,930,5.18738580584075,5.29330482472449,6.8351845861473,3.35789846794201,"Actual"
"Noosa",17.417272,1030,1009,1029,1003,4.57471097850338,4.72738781871234,6.91075078796194,2.8574623575537,"Actual"
"North Burnett",34.871556,902,888,943,887,5.41610040220442,5.29330482472449,6.78784498230958,3.55167148257699,"Actual"
"Northern Peninsula Area",34.3619,702,792,636,881,6.05208916892442,6.22653666928747,6.78105762593618,3.53694839244405,"Actual"
"Palm Island",43.478261,567,707,570,851,6.32793678372919,6.3491389913798,6.74641212857337,3.77226106605299,"Actual"
"Paroo",36.041231,866,884,857,921,5.56452040732269,5.65248918026865,6.82546003625531,3.5846635886496,"Actual"
"Redland",17.271506,1024,1003,1041,979,4.63472898822964,4.61512051684126,6.88653164253051,2.84905809159922,"Actual"
"Rockhampton",25.843825,949,924,960,910,5.18178355029209,5.2040066870768,6.8134445995109,3.25207169427538,"Actual"
"Scenic Rim",27.118766,986,959,1019,949,4.94875989037817,4.81218435537242,6.85540879860993,3.30022596056205,"Actual"
"Somerset",26.827868,944,913,998,896,5.20948615284142,4.969813299576,6.79794041297493,3.28944119799279,"Actual"
"South Burnett",42.158408,907,885,945,888,5.39362754635236,5.28320372873799,6.78897174299217,3.74143414260933,"Actual"
"Southern Downs",23.625373,939,909,964,900,5.23644196282995,5.18178355029209,6.80239476332431,3.16232126161496,"Actual"
"Sunshine Coast",15.728438,1022,1001,1023,991,4.65396035015752,4.77912349311153,6.89871453432999,2.75547041144024,"Actual"
"Tablelands",37.595619,955,926,961,924,5.14749447681345,5.19849703126583,6.82871207164168,3.62688752764989,"Actual"
"Toowoomba",25.666093,979,959,983,959,4.99721227376411,5.06890420222023,6.86589107488344,3.24517078228644,"Actual"
"Torres",54.665719,904,939,824,981,5.40717177146012,5.76205138278018,6.88857245956536,4.00123680363998,"Actual"
"Torres Strait Island",53.676865,649,777,628,885,6.16961073249146,6.24222326545517,6.78558764500793,3.98298208931864,"Actual"
"Townsville",22.362116,990,966,981,962,4.91998092582813,5.08140436498446,6.86901445066571,3.10736827708316,"Actual"
"Western Downs",36.082074,946,922,969,912,5.19849703126583,5.15329159449778,6.81563999007433,3.58579617691261,"Actual"
"Whitsunday",18.139443,969,935,977,899,5.06259503302697,5.10594547390058,6.80128303447162,2.89808873859263,"Actual"
"Winton",36.84259,993,959,972,932,4.89783979995091,5.13579843705026,6.83733281468559,3.60665451293327,"Actual"
"Yarrabah",83.701111,512,678,569,788,6.42162226780652,6.35088571671474,6.66949808985788,4.42725225100351,"Actual"
"Adelaide",11.91119,1002,1058,856,1137,4.8283137373023,5.65599181081985,7.03614849375054,2.47747829441288,"Actual"
"Adelaide Hills",11.044743,1081,1066,1083,1070,3.8286413964891,4.07753744390572,6.97541392745595,2.40195456815411,"Actual"
"Adelaide Plains",8.4623847,988,943,1040,894,4.93447393313069,4.62497281328427,6.79570577517351,2.13563101333021,"Actual"
"Alexandrina",24.711936,988,949,1007,941,4.93447393313069,4.90527477843843,6.84694313958538,3.20728636577803,"Actual"
"Anangu Pitjantjatjara Yunkunytjatjara",79.668579,496,706,519,889,6.44730586254121,6.43454651878745,6.7900972355139,4.37787526715941,"Actual"
"Barossa",33.354892,1014,976,1025,955,4.72738781871234,4.76217393479776,6.86171134048073,3.50720444826087,"Actual"
"Barunga West",86.652848,950,932,966,947,5.17614973257383,5.17048399503815,6.85329909318608,4.46190988348068,"Actual"
"Berri Barmera",45.97665,907,887,929,882,5.39362754635236,5.36129216570943,6.78219205600679,3.82813365891653,"Actual"
"Burnside",17.773385,1083,1102,1050,1131,3.78418963391826,4.52178857704904,7.03085747611612,2.87770211361492,"Actual"
"Campbelltown (SA)",31.087136,1021,1012,990,1030,4.66343909411207,5.02388052084628,6.93731408122368,3.43679410017477,"Actual"
"Ceduna",56.378748,943,927,928,926,5.21493575760899,5.36597601502185,6.83087423464618,4.03209227898321,"Actual"
"Charles Sturt",26.515217,1001,993,969,1005,4.83628190695148,5.15329159449778,6.91274282049318,3.27771879460237,"Actual"
"Clare and Gilbert Valleys",28.396214,998,963,994,960,4.85981240436167,4.99721227376411,6.86693328446188,3.34625582642146,"Actual"
"Cleve",27.840935,989,952,988,949,4.92725368515721,5.03695260241363,6.85540879860993,3.32650741967238,"Actual"
"Coober Pedy",57.816836,868,868,832,868,5.55682806169954,5.73657229747919,6.76619171466035,4.05728001354128,"Actual"
"Copper Coast",42.745018,924,892,950,873,5.31320597904179,5.25749537202778,6.7719355558396,3.75525265057999,"Actual"
"Elliston",26.845647,959,952,962,988,5.12396397940326,5.19295685089021,6.89568269774787,3.29010368490651,"Actual"
"Franklin Harbour",27.840935,959,923,970,906,5.12396397940326,5.14749447681345,6.80903930604298,3.32650741967238,"Actual"
"Gawler",18.599411,960,931,968,926,5.11799381241676,5.15905529921453,6.83087423464618,2.92312991355109,"Actual"
"Goyder",23.878886,947,914,957,919,5.19295685089021,5.22035582507832,6.82328612235569,3.17299463752001,"Actual"
"Grant",27.359727,1026,974,1055,927,4.61512051684126,4.46590811865458,6.83195356556585,3.30907211463439,"Actual"
"Holdfast Bay",20.032673,1047,1044,999,1062,4.38202663467388,4.96284463025991,6.96790920180188,2.99736459059935,"Actual"
"Kangaroo Island",20.33519,991,952,982,945,4.91265488573605,5.07517381523383,6.85118492749374,3.01235288281197,"Actual"
"Karoonda East Murray",32.388572,956,930,975,946,5.14166355650266,5.11799381241676,6.85224256905188,3.47780564452996,"Actual"
"Kimba",27.840935,1020,985,1007,986,4.67282883446191,4.90527477843843,6.89365635460264,3.32650741967238,"Actual"
"Kingston (SA)",30.994937,977,942,987,910,5.01063529409626,5.04342511691925,6.8134445995109,3.43382386856592,"Actual"
"Light",14.566217,1027,981,1055,949,4.60517018598809,4.46590811865458,6.85540879860993,2.67870494339174,"Actual"
"Lower Eyre Peninsula",29.203092,1033,982,1037,953,4.54329478227,4.65396035015752,6.8596149036542,3.3742745940792,"Actual"
"Loxton Waikerie",33.141909,958,925,967,911,5.12989871492307,5.16478597392351,6.81454289725996,3.50079861444317,"Actual"
"Marion",16.812286,1008,994,974,1013,4.77912349311153,5.12396397940326,6.92067150424868,2.82210992865651,"Actual"
"Mid Murray",27.082025,914,882,952,874,5.36129216570943,5.24702407216049,6.77308037565554,3.29887022368258,"Actual"
"Mitcham",19.373874,1075,1073,1050,1094,3.95124371858143,4.52178857704904,6.99759598298193,2.96392545742157,"Actual"
"Mount Barker",17.889563,1037,1004,1038,1002,4.49980967033027,4.64439089914137,6.90975328164481,2.88421747016806,"Actual"
"Mount Gambier",24.823868,924,893,928,883,5.31320597904179,5.36597601502185,6.78332520060396,3.2118056096972,"Actual"
"Mount Remarkable",51.1222,974,950,990,958,5.03043792139244,5.02388052084628,6.86484777797086,3.934218845137,"Actual"
"Murray Bridge",29.798003,891,866,923,853,5.46383180502561,5.3890717298165,6.74875954749168,3.39444137784304,"Actual"
"Naracoorte Lucindale",13.677708,978,949,986,929,5.00394630594546,5.04985600724954,6.83410873881384,2.61576735429772,"Actual"
"Northern Areas",25.766555,979,948,975,957,4.99721227376411,5.11799381241676,6.86380339145295,3.24907733315132,"Actual"
"Norwood Payneham and St Peters",25.110593,1038,1052,974,1090,4.48863636973214,5.12396397940326,6.99393297522319,3.22328978897985,"Actual"
"Onkaparinga",19.639951,987,951,991,945,4.9416424226093,5.01727983681492,6.85118492749374,2.97756580801486,"Actual"
"Orroroo Carrieton",50.68351,1006,980,1000,986,4.79579054559674,4.95582705760126,6.89365635460264,3.92560061114468,"Actual"
"Peterborough",51.210769,773,783,853,825,5.86929691313377,5.66642668811243,6.71538338633468,3.93594984196003,"Actual"
"Playford",22.219123,852,850,911,852,5.61677109766657,5.44241771052179,6.74758652682932,3.10095331448567,"Actual"
"Port Adelaide Enfield",23.638105,953,953,937,978,5.15905529921453,5.32300997913841,6.88550967003482,3.16286002858035,"Actual"
"Port Augusta",48.740938,889,877,892,870,5.47227067367148,5.52146091786225,6.76849321164863,3.88651929298521,"Actual"
"Port Lincoln",16.879876,948,915,936,900,5.18738580584075,5.32787616878958,6.80239476332431,2.82612214316927,"Actual"
"Port Pirie",25.033644,889,868,902,866,5.47227067367148,5.48063892334199,6.76388490856244,3.22022068014481,"Actual"
"Prospect",21.020692,1054,1058,1000,1085,4.29045944114839,4.95582705760126,6.98933526597456,3.04550728593451,"Actual"
"Renmark Paringa",18.086817,923,899,949,879,5.31811999384422,5.26269018890489,6.77878489768518,2.89518333036005,"Actual"
"Robe",30.994937,1023,984,1006,965,4.64439089914137,4.91265488573605,6.87212810133899,3.43382386856592,"Actual"
"Salisbury",20.931131,904,898,945,902,5.40717177146012,5.28320372873799,6.80461452006262,3.04123757226503,"Actual"
"Southern Mallee",32.743034,997,962,985,944,4.86753445045558,5.05624580534831,6.8501261661455,3.48869023716684,"Actual"
"Streaky Bay",26.825627,1000,960,977,945,4.84418708645859,5.10594547390058,6.85118492749374,3.28935766196215,"Actual"
"Tatiara",22.979921,982,950,1004,926,4.97673374242057,4.92725368515721,6.83087423464618,3.13462083464272,"Actual"
"Tea Tree Gully",17.866395,1030,996,1016,985,4.57471097850338,4.83628190695148,6.89264164117209,2.88292157406917,"Actual"
"Coorong",28.722236,939,911,956,910,5.23644196282995,5.2257466737132,6.8134445995109,3.35767159630267,"Actual"
"Tumby Bay",35.138037,993,954,979,955,4.89783979995091,5.09375020080676,6.86171134048073,3.55928421893337,"Actual"
"Unley",29.540141,1067,1084,1014,1119,4.0943445622221,4.85203026391962,7.02019070831193,3.38575005028074,"Actual"
"Victor Harbor",29.766213,962,927,970,925,5.10594547390058,5.14749447681345,6.82979373751242,3.39337395833672,"Actual"
"Wakefield",86.97633,921,897,957,892,5.32787616878958,5.22035582507832,6.79346613258001,4.46563601267159,"Actual"
"Wattle Range",21.700701,942,906,963,892,5.22035582507832,5.18738580584075,6.79346613258001,3.07734456417211,"Actual"
"West Torrens",26.317115,1015,1010,960,1029,4.71849887129509,5.2040066870768,6.93634273583405,3.27021948798723,"Actual"
"Whyalla",35.398394,883,868,879,865,5.4971682252932,5.57215403217776,6.76272950693188,3.56666645187897,"Actual"
"Wudinna",26.882492,1009,972,987,959,4.77068462446567,5.04342511691925,6.86589107488344,3.29147521969113,"Actual"
"Yankalilla",31.783428,978,942,991,938,5.00394630594546,5.01727983681492,6.84374994900622,3.45894502187414,"Actual"
"Yorke Peninsula",63.805198,952,918,961,910,5.16478597392351,5.19849703126583,6.8134445995109,4.1558346603862,"Actual"
"Unincorporated SA",25.12894,905,904,865,895,5.40267738187228,5.62401750618734,6.79682371827486,3.22402017000531,"Actual"
"Albany",24.569018,987,955,997,941,4.9416424226093,4.97673374242057,6.84694313958538,3.2014862182944,"Actual"
"Armadale",12.675047,990,971,1025,947,4.91998092582813,4.76217393479776,6.85329909318608,2.53963525755716,"Actual"
"Ashburton",7.9771853,1024,979,973,902,4.63472898822964,5.12989871492307,6.80461452006262,2.07658562994339,"Actual"
"Augusta Margaret River",9.8339341,1031,999,1036,993,4.56434819146784,4.66343909411207,6.90073066404517,2.2858390677267,"Actual"
"Bassendean",17.363264,1015,1005,994,1015,4.71849887129509,4.99721227376411,6.92264389147589,2.85435670999213,"Actual"
"Bayswater",24.874693,1018,1017,994,1028,4.69134788222914,4.99721227376411,6.93537044601511,3.21385094125995,"Actual"
"Belmont",19.159635,987,985,953,995,4.9416424226093,5.24174701505964,6.90274273715859,2.95280572225687,"Actual"
"Beverley",41.410985,956,932,986,927,5.14166355650266,5.04985600724954,6.83195356556585,3.72354618379957,"Actual"
"Boddington",15.980823,976,944,1011,894,5.01727983681492,4.87519732320115,6.79570577517351,2.7713894408893,"Actual"
"Boyup Brook",20.318714,995,969,1006,972,4.88280192258637,4.91265488573605,6.87935580446044,3.01154233330597,"Actual"
"Bridgetown-Greenbushes",20.318714,1000,962,1018,945,4.84418708645859,4.82028156560504,6.85118492749374,3.01154233330597,"Actual"
"Brookton",32.783302,944,919,984,894,5.20948615284142,5.06259503302697,6.79570577517351,3.48991930039629,"Actual"
"Broome",24.805824,962,983,934,985,5.10594547390058,5.33753807970132,6.89264164117209,3.21107846431032,"Actual"
"Broomehill-Tambellup",14.190436,961,961,1000,988,5.11198778835654,4.95582705760126,6.89568269774787,2.65256821656321,"Actual"
"Bruce Rock",27.381185,979,958,989,952,4.99721227376411,5.03043792139244,6.85856503479136,3.30985609869001,"Actual"
"Bunbury",25.528424,944,921,951,907,5.20948615284142,5.25227342804663,6.81014245011514,3.23979249805142,"Actual"
"Busselton",15.89068,1019,985,1038,958,4.68213122712422,4.64439089914137,6.86484777797086,2.76573277384317,"Actual"
"Cambridge",17.179767,1113,1153,1107,1160,2.63905732961526,3.55534806148941,7.05617528410041,2.84373235418242,"Actual"
"Canning",20.151321,1023,1024,1011,1033,4.64439089914137,4.87519732320115,6.94022246911964,3.00326984455649,"Actual"
"Carnarvon",50.674752,926,918,913,908,5.30330490805908,5.43372200355424,6.81124437860129,3.92542779839417,"Actual"
"Chapman Valley",15.156799,1027,999,1057,959,4.60517018598809,4.44265125649032,6.86589107488344,2.71844921016214,"Actual"
"Chittering",17.101618,1030,1003,1100,947,4.57471097850338,3.73766961828337,6.85329909318608,2.83917307891548,"Actual"
"Claremont",21.181443,1081,1124,1043,1157,3.8286413964891,4.59511985013459,7.05358572719368,3.05312546816411,"Actual"
"Cockburn",11.887566,1033,1020,1042,1002,4.54329478227,4.60517018598809,6.90975328164481,2.47549297990657,"Actual"
"Collie",28.996498,908,872,958,824,5.3890717298165,5.21493575760899,6.71417052990947,3.36717506407388,"Actual"
"Coolgardie",22.034197,897,874,923,829,5.4380793089232,5.3890717298165,6.7202201551353,3.09259565560587,"Actual"
"Coorow",15.045135,978,940,1001,916,5.00394630594546,4.94875989037817,6.82001636467413,2.71105468312251,"Actual"
"Corrigin",32.783302,1023,982,1025,971,4.64439089914137,4.76217393479776,6.87832646829133,3.48991930039629,"Actual"
"Cottesloe",17.670916,1112,1157,1086,1175,2.70805020110221,4.02535169073515,7.06902342657826,2.8719201242636,"Actual"
"Cranbrook",14.190436,964,951,987,965,5.09375020080676,5.04342511691925,6.87212810133899,2.65256821656321,"Actual"
"Cuballing",20.118296,972,946,1002,923,5.04342511691925,4.9416424226093,6.82762923450285,3.00162964979607,"Actual"
"Cunderdin",30.090271,1008,964,990,939,4.77912349311153,5.02388052084628,6.84481547920826,3.40420189691579,"Actual"
"Dalwallinu",12.7421,1056,1024,1039,1011,4.26267987704132,4.63472898822964,6.91869521902047,2.54491147172503,"Actual"
"Dandaragan",20.269357,995,961,1014,925,4.88280192258637,4.85203026391962,6.82979373751242,3.00911023820447,"Actual"
"Dardanup",30.280594,1006,961,1040,906,4.79579054559674,4.62497281328427,6.80903930604298,3.41050704528569,"Actual"
"Denmark",19.091256,1003,981,1003,1014,4.82028156560504,4.93447393313069,6.92165818415113,2.94923042918257,"Actual"
"Derby-West Kimberley",69.760155,734,818,731,899,5.97380961186926,6.01859321449623,6.80128303447162,4.24506300150193,"Actual"
"Donnybrook-Balingup",16.251178,987,961,1025,934,4.9416424226093,4.76217393479776,6.83947643822884,2.788165398456,"Actual"
"Dowerin",25.253801,983,970,977,992,4.969813299576,5.10594547390058,6.89972310728487,3.22897667904563,"Actual"
"East Fremantle",12.580515,1082,1109,1066,1123,3.80666248977032,4.33073334028633,7.02375895473844,2.53214918843118,"Actual"
"East Pilbara",7.1527939,939,946,893,929,5.23644196282995,5.51745289646471,6.83410873881384,1.96750303562572,"Actual"
"Esperance",27.894091,995,960,1002,926,4.88280192258637,4.9416424226093,6.83087423464618,3.32841487428151,"Actual"
"Exmouth",4.2985347,1038,1002,997,946,4.48863636973214,4.97673374242057,6.85224256905188,1.45827419718324,"Actual"
"Fremantle",21.117014,1031,1054,991,1093,4.56434819146784,5.01727983681492,6.99668148817654,3.05007906626684,"Actual"
"Gingin",20.269357,975,947,1018,910,5.02388052084628,4.82028156560504,6.8134445995109,3.00911023820447,"Actual"
"Goomalling",25.253801,998,959,997,940,4.85981240436167,4.97673374242057,6.84587987526405,3.22897667904563,"Actual"
"Gosnells",17.253224,975,962,1010,944,5.02388052084628,4.88280192258637,6.8501261661455,2.84799902456474,"Actual"
"Greater Geraldton",27.125693,965,941,984,917,5.08759633523238,5.06259503302697,6.82110747225646,3.30048135992137,"Actual"
"Halls Creek",72.636416,540,702,572,836,6.3750248198281,6.3456363608286,6.7286286130847,4.28546639386877,"Actual"
"Harvey",14.700675,998,960,1042,907,4.85981240436167,4.60517018598809,6.81014245011514,2.68789341109782,"Actual"
"Irwin",43.346337,966,931,984,898,5.08140436498446,5.06259503302697,6.8001700683022,3.76922220138647,"Actual"
"Joondalup",10.04717,1072,1061,1085,1038,4.00733318523247,4.04305126783455,6.94505106372583,2.3072910028108,"Actual"
"Kalamunda",13.334306,1034,1009,1053,977,4.53259949315326,4.48863636973214,6.88448665204278,2.5903401127851,"Actual"
"Kalgoorlie-Boulder",13.171245,1008,980,1010,920,4.77912349311153,4.88280192258637,6.82437367004309,2.57803604431684,"Actual"
"Karratha",8.7379555,1052,1035,1019,956,4.31748811353631,4.81218435537242,6.8627579130514,2.16767623781772,"Actual"
"Katanning",38.773048,907,898,943,876,5.39362754635236,5.29330482472449,6.77536609093639,3.65772536608039,"Actual"
"Kellerberrin",30.090271,920,899,941,900,5.33271879326537,5.30330490805908,6.80239476332431,3.40420189691579,"Actual"
"Kojonup",14.190436,997,979,999,983,4.86753445045558,4.96284463025991,6.89060912014717,2.65256821656321,"Actual"
"Kondinin",23.9872137810794,978,959,993,958,5.00394630594546,5.00394630594546,6.86484777797086,3.17752092925969,"Estimated"
"Kwinana",10.28296,971,949,1003,925,5.04985600724954,4.93447393313069,6.82979373751242,2.33048815632409,"Actual"
"Lake Grace",9.146202,1051,1022,1040,1013,4.33073334028633,4.62497281328427,6.92067150424868,2.21333871114985,"Actual"
"Laverton",19.744116,751,813,738,904,5.92958914338989,6.00141487796115,6.80682936039218,2.98285552290831,"Actual"
"Leonora",19.744116,948,924,922,879,5.18738580584075,5.39362754635236,6.77878489768518,2.98285552290831,"Actual"
"Mandurah",24.639115,959,936,998,912,5.12396397940326,4.969813299576,6.81563999007433,3.20433522081249,"Actual"
"Manjimup",15.602927,959,928,982,908,5.12396397940326,5.07517381523383,6.81124437860129,2.74745852486065,"Actual"
"Meekatharra",43.556717,848,871,831,896,5.63121178182137,5.73979291217923,6.79794041297493,3.77406392791504,"Actual"
"Melville",18.149667,1070,1081,1058,1086,4.04305126783455,4.43081679884331,6.99025650049388,2.89865221343511,"Actual"
"Merredin",27.381185,971,937,971,914,5.04985600724954,5.14166355650266,6.81783057145415,3.30985609869001,"Actual"
"Moora",12.7421,959,935,975,918,5.12396397940326,5.11799381241676,6.82219739062049,2.54491147172503,"Actual"
"Mosman Park",10.903936,1061,1107,1047,1135,4.18965474202643,4.55387689160054,7.0343879299155,2.38912382497128,"Actual"
"Mundaring",15.607116,1042,1020,1072,992,4.44265125649032,4.24849524204936,6.89972310728487,2.74772696409511,"Actual"
"Murray",17.622361,962,931,1026,884,5.10594547390058,4.75359019110636,6.78445706263764,2.86916860699115,"Actual"
"Nannup",22.937413,978,955,988,952,5.00394630594546,5.03695260241363,6.85856503479136,3.13276933289206,"Actual"
"Narembeen",27.381185,1028,997,1035,969,4.59511985013459,4.67282883446191,6.87626461189077,3.30985609869001,"Actual"
"Narrogin",33.444056,964,942,955,927,5.09375020080676,5.23110861685459,6.83195356556585,3.50987407272727,"Actual"
"Nedlands",8.6429084,1115,1159,1108,1176,2.484906649788,3.52636052461616,7.06987412845857,2.15673914654241,"Actual"
"Ngaanyatjarraku",19.744116,509,717,541,885,6.42648845745769,6.39859493453521,6.78558764500793,2.98285552290831,"Actual"
"Northam",29.408712,938,914,974,892,5.24174701505964,5.12396397940326,6.79346613258001,3.38129095697921,"Actual"
"Peppermint Grove",10.903936,1111,1161,1120,1161,2.77258872223978,3.09104245335832,7.05703698169789,2.38912382497128,"Actual"
"Perth",7.9149767,1040,1081,901,1128,4.46590811865458,5.48479693349065,7.028201432058,2.06875674955101,"Actual"
"Pingelly",32.783302,907,900,931,917,5.39362754635236,5.35185813347607,6.82110747225646,3.48991930039629,"Actual"
"Plantagenet",37.278658,949,929,989,935,5.18178355029209,5.03043792139244,6.84054652928869,3.61842099131538,"Actual"
"Port Hedland",25.670638,1011,997,972,933,4.75359019110636,5.13579843705026,6.83840520084734,3.24534784848927,"Actual"
"Quairading",30.090271,964,941,981,939,5.09375020080676,5.08140436498446,6.84481547920826,3.40420189691579,"Actual"
"Ravensthorpe",20.229606,1002,970,983,949,4.8283137373023,5.06890420222023,6.85540879860993,3.00714717496429,"Actual"
"Rockingham",11.499827,989,962,1025,929,4.92725368515721,4.76217393479776,6.83410873881384,2.44233199177779,"Actual"
"Serpentine-Jarrahdale",10.212034,1028,995,1090,935,4.59511985013459,3.95124371858143,6.84054652928869,2.32356682879007,"Actual"
"South Perth",20.63604,1066,1086,1015,1114,4.11087386417331,4.84418708645859,7.01571242048723,3.02703906174067,"Actual"
"Stirling",17.282586,1027,1035,1005,1048,4.60517018598809,4.91998092582813,6.95463886488099,2.84969940495683,"Actual"
"Subiaco",19.005243,1079,1119,1009,1167,3.87120101090789,4.89034912822175,7.06219163228656,2.94471488846839,"Actual"
"Swan",14.44885,995,974,1033,944,4.88280192258637,4.69134788222914,6.8501261661455,2.67061482661632,"Actual"
"Tammin",30.090271,959,942,974,948,5.12396397940326,5.12396397940326,6.85435450225502,3.40420189691579,"Actual"
"Toodyay",21.777952,986,952,1018,931,4.94875989037817,4.82028156560504,6.83625927727707,3.0808980818623,"Actual"
"Victoria Park",21.631517,1030,1042,965,1071,4.57471097850338,5.17614973257383,6.97634807044775,3.07415137157873,"Actual"
"Victoria Plains",12.7421,1028,1004,1031,978,4.59511985013459,4.70953020131233,6.88550967003482,2.54491147172503,"Actual"
"Vincent",20.031148,1068,1097,1000,1126,4.07753744390572,4.95582705760126,7.02642680869964,2.9972884620643,"Actual"
"Wagin",20.118296,947,921,970,906,5.19295685089021,5.14749447681345,6.80903930604298,3.00162964979607,"Actual"
"Wandering",32.783302,1004,982,1038,962,4.81218435537242,4.64439089914137,6.86901445066571,3.48991930039629,"Actual"
"Wanneroo",11.820343,1005,988,1048,961,4.80402104473326,4.54329478227,6.86797440897029,2.46982203016944,"Actual"
"Waroona",56.303664,936,908,999,860,5.25227342804663,4.96284463025991,6.75693238924755,4.03075961295699,"Actual"
"West Arthur",20.118296,1028,1007,1017,1008,4.59511985013459,4.8283137373023,6.91572344863131,3.00162964979607,"Actual"
"Williams",20.118296,1030,1008,1039,1006,4.57471097850338,4.63472898822964,6.91373735065968,3.00162964979607,"Actual"
"Wongan-Ballidu",25.253801,963,936,971,936,5.0998664278242,5.14166355650266,6.84161547647759,3.22897667904563,"Actual"
"Wyndham-East Kimberley",36.07044,899,934,860,965,5.42934562895444,5.64190707093811,6.87212810133899,3.58547369334396,"Actual"
"Yilgarn",19.103413,973,955,965,916,5.03695260241363,5.17614973257383,6.82001636467413,2.94986701018871,"Actual"
"York",41.410985,968,938,980,934,5.06890420222023,5.08759633523238,6.83947643822884,3.72354618379957,"Actual"
"Break O'Day",91.212534,911,881,930,896,5.37527840768417,5.35658627467201,6.79794041297493,4.5131923218476,"Actual"
"Brighton",22.193019,885,862,924,849,5.48893772615669,5.38449506278909,6.74405918631135,3.09977777996603,"Actual"
"Burnie",32.898296,920,895,924,890,5.33271879326537,5.38449506278909,6.79122146272619,3.49342086311694,"Actual"
"Central Coast (Tas.)",42.834633,958,923,969,914,5.12989871492307,5.15329159449778,6.81783057145415,3.75734695761929,"Actual"
"Circular Head",43.764634,943,908,966,884,5.21493575760899,5.17048399503815,6.78445706263764,3.77882604830241,"Actual"
"Clarence",21.522426,1009,989,992,992,4.77068462446567,5.01063529409626,6.89972310728487,3.06909546128178,"Actual"
"Devonport",36.344714,906,883,920,884,5.39816270151775,5.40267738187228,6.78445706263764,3.59304877387276,"Actual"
"Dorset",37.846852,932,900,957,887,5.27299955856375,5.22035582507832,6.78784498230958,3.6335478060151,"Actual"
"Flinders (Tas.)",42.202996,963,947,941,968,5.0998664278242,5.30330490805908,6.87523208727658,3.74249121378259,"Actual"
"George Town",36.211699,860,846,906,846,5.58724865840025,5.46383180502561,6.74051935960622,3.58938224341693,"Actual"
"Glamorgan-Spring Bay",49.662211,950,924,962,920,5.17614973257383,5.19295685089021,6.82437367004309,3.90524430184364,"Actual"
"Glenorchy",31.034781,927,911,914,918,5.29831736654804,5.42934562895444,6.82219739062049,3.43510854329166,"Actual"
"Hobart",18.014551,1046,1062,970,1104,4.39444915467244,5.14749447681345,7.00669522683704,2.89117982021474,"Actual"
"Huon Valley",25.643866,974,946,985,958,5.03043792139244,5.05624580534831,6.86484777797086,3.2443044007175,"Actual"
"Kentish",33.572238,953,918,986,898,5.15905529921453,5.04985600724954,6.8001700683022,3.51369947543649,"Actual"
"Kingborough",19.743285,1038,1020,1013,1039,4.48863636973214,4.85981240436167,6.94601399109923,2.98281343353403,"Actual"
"Latrobe (Tas.)",47.685379,974,928,982,905,5.03043792139244,5.07517381523383,6.80793494369993,3.86462483099132,"Actual"
"Launceston",38.833069,939,926,929,941,5.23644196282995,5.36129216570943,6.84694313958538,3.65927217744753,"Actual"
